"SKU","ean","image01","Product Title DK","Product Colour DK","Danish Short Description","Danish Long description HTML","Categories DK","Product Title SE","Product Colour SE","Swedish Short Description","Swedish Long description HTML","Categories SE","Brand","SPEC. PRICES DKK PRIS30","Price Per Unit DKK EX VAT","Price Per Unit DKK INCL 25% VAT","Sales Unit Per Retail box","Product Height CM","Product  Width CM","Product Depth CM","Product Net weight KG","Sales box Gross weight KG","Sales box Height MM","Sales box Width MM","Sales box Depth MM","ENERGY STAR Rating","ENERGY STAR LABEL EU","ENERGY STAR LABEL UK","IP class index","Light source","Dimmable","CRI Ra index","Lumen","Kelvin","Product SOCKET","Product VOLT","Product WATT","HS Code","Country of origin","Categories","image02","image03","image04","image05","image06","image07","image08","image09","iamge10","image11","image12","image13","image14","image15","image16","image17","image18","image19"
"401-312","7318304013125","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2f/c0/5f/62/625fc02ff35177c342ddda4e/401-312.I.1.0.jpg","Heimdal væglampe E27 grå","Grå","Heimdal væglampe E27 grå, opal hvidt glas.","Heimdal væglampe E27 grå, opal hvidt glas.","Udendørslamper","Heimdal vägglykta E27 grå","Grå","Heimdal vägglykta E27 grå, opalvitt glas.","Heimdal vägglykta E27 grå, opalvitt glas.","Utebelysning","Konstsmide",832,1484.80,1856.00,1,27.00,30.00,29.00,2.80,3.55,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6e/e1/62/62/6262e16e1e1074154554a48f/401-312.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2f/c0/5f/62/625fc02ff35177c342ddda4e/401-312.I.1.0.jpg",,,,,,,,,,,,,,,,
"401-752","7318304017529","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2d/c0/5f/62/625fc02db4ad8cbf7caff978/401-752.I.1.0.jpg","Heimdal væglampe E27 sort","Sort","Heimdal væglampe E27 sort, opal hvidt glas.","Heimdal væglampe E27 sort, opal hvidt glas.","Udendørslamper","Heimdal vägglykta E27 svart","Svart","Heimdal vägglykta E27 svart, opalvitt glas.","Heimdal vägglykta E27 svart, opalvitt glas.","Utebelysning","Konstsmide",832,1484.80,1856.00,1,27.00,30.00,29.00,2.80,3.55,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2d/c0/5f/62/625fc02db4ad8cbf7caff978/401-752.I.1.0.jpg",,,,,,,,,,,,,,,,,
"404-750","7318304047502","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e9b97dfdd099d0315/404-750.I.1.0.jpg","Heimdal væglampe E27 sort","Sort","Heimdal væglampe E27 sort, klart glas.","Heimdal væglampe E27 sort, klart glas.","Udendørslamper","Heimdal vägglykta E27 svart","Svart","Heimdal vägglykta E27 svart, klart glas.","Heimdal vägglykta E27 svart, klart glas.","Utebelysning","Konstsmide",651,1162.40,1453.00,1,26.00,25.00,24.00,2.65,3.10,260.00,300.00,260.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/76/e1/62/62/6262e176f710ffb0c31a94dc/404-750.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e9b97dfdd099d0315/404-750.I.1.0.jpg",,,,,,,,,,,,,,,,
"405-250","7318304052506","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e90bbc66c5ab49816/405-250.I.1.0.jpg","Nova bedlampe GU10 hvid","Hvid","Nova bedlampe GU10 hvid inkl. stolpe","Nova bedlampe GU10 hvid inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 vit","Vit","Nova trädgårdslykta GU10 vit ink stolp","Nova trädgårdslykta GU10 vit ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e90bbc66c5ab49816/405-250.I.1.0.jpg",,,,,,,,,,,,,,,,,
"405-310","7318304053107","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5f/c3/5f/62/625fc35f9b97dfdd099d0316/405-310.I.1.0.jpg","Nova bedlampe GU10 grå","Grå","Nova bedlampe GU10 grå inkl. stolpe","Nova bedlampe GU10 grå inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 grå","Grå","Nova trädgårdslykta GU10 grå ink stolp","Nova trädgårdslykta GU10 grå ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5f/c3/5f/62/625fc35f9b97dfdd099d0316/405-310.I.1.0.jpg",,,,,,,,,,,,,,,,,
"405-750","7318304057501","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/60/c3/5f/62/625fc360b4ad8cbf7caff9ff/405-750.I.1.0.jpg","Nova bedlampe GU10 sort","Sort","Nova bedlampe GU10 sort inkl. stolpe","Nova bedlampe GU10 sort inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 svart","Svart","Nova trädgårdslykta GU10 svart ink stolp","Nova trädgårdslykta GU10 svart ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/60/c3/5f/62/625fc360b4ad8cbf7caff9ff/405-750.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-250","7318304062505","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362b4ad8cbf7caffa00/406-250.I.1.0.jpg","Nova væglampe GU10 hvid","Hvid","Nova væglampe GU10 hvid","Nova væglampe GU10 hvid","Udendørslamper","Nova vägglykta GU10 vit","Vit","Nova vägglykta GU10 vit","Nova vägglykta GU10 vit","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362b4ad8cbf7caffa00/406-250.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-310","7318304063106","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362328f042f10d7a3db/406-310.I.1.0.jpg","Nova væglampe GU10 grå","Grå","Nova væglampe GU10 grå","Nova væglampe GU10 grå","Udendørslamper","Nova vägglykta GU10 grå","Grå","Nova vägglykta GU10 grå","Nova vägglykta GU10 grå","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362328f042f10d7a3db/406-310.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-750","7318304067500","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/63/c3/5f/62/625fc3639b97dfdd099d0317/406-750.I.1.0.jpg","Nova væglampe GU10 sort","Sort","Nova væglampe GU10 sort","Nova væglampe GU10 sort","Udendørslamper","Nova vägglykta GU10 svart","Svart","Nova vägglykta GU10 svart","Nova vägglykta GU10 svart","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/63/c3/5f/62/625fc3639b97dfdd099d0317/406-750.I.1.0.jpg",,,,,,,,,,,,,,,,,
"407-250","7318304072504","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/64/c3/5f/62/625fc364b13d56f91d62d510/407-250.I.1.0.jpg","Pollux væglampe GU10 hvid","Hvid","Pollux væglampe GU10 hvid","Pollux væglampe 2xGU10 hvid/transparent, op og ned","Udendørslamper","Pollux vägglykta GU10 vit","Vit","Pollux vägglykta GU10 vit","Pollux vägglykta 2xGU10 vit/transparent, upp och ned","Utebelysning","Konstsmide",546,975.20,1219.00,6,23.50,11.50,7.50,0.85,1.32,360.00,155.00,130.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 7W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/70/4a/62/62/62624a701e10741545549720/407-250.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6a/4a/62/62/62624a6a1e1074154554971f/407-250.B.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6d/4a/62/62/62624a6da029622018e28e2e/407-250.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/64/c3/5f/62/625fc364b13d56f91d62d510/407-250.I.1.0.jpg",,,,,,,,,,,,,,
"407-750","7318304077509","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/66/c3/5f/62/625fc3669b97dfdd099d0318/407-750.I.1.0.jpg","Pollux væglampe 2xGU10 sort","Sort","Pollux væglampe 2xGU10 sort","Pollux væglampe 2xGU10 sort","Udendørslamper","Pollux vägglykta 2xGU10 svart","Svart","Pollux vägglykta 2xGU10 svart","Pollux vägglykta 2xGU10 svart","Utebelysning","Konstsmide",546,975.20,1219.00,6,23.50,11.50,7.50,0.85,1.32,360.00,155.00,130.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 2x7W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/7a/4a/62/62/62624a7aca2a16fd0a775662/407-750.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/71/4a/62/62/62624a711e10741545549721/407-750.B.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/74/4a/62/62/62624a7489b95f4e204cd686/407-750.F.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/77/4a/62/62/62624a7789b95f4e204cd688/407-750.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/66/c3/5f/62/625fc3669b97dfdd099d0318/407-750.I.1.0.jpg",,,,,,,,,,,,,
"408-250","7318304082503","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/67/c3/5f/62/625fc36790bbc66c5ab49819/408-250.I.1.0.jpg","Pollux væglampe GU10 hvid","Hvid","Pollux væglampe GU10 hvid","Pollux væglampe 2xGU10 hvid/transparent, op og ned","Udendørslamper","Pollux vägglykta GU10 vit","Vit","Pollux vägglykta GU10 vit","Pollux vägglykta 2xGU10 vit/dubbel transparent, upp och ned","Utebelysning","Konstsmide",592,1057.60,1322.00,6,27.50,11.50,7.50,0.92,1.39,360.00,155.00,130.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 7W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/81/4a/62/62/62624a81a029622018e28e32/408-250.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/7b/4a/62/62/62624a7b1e10741545549722/408-250.B.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/7e/4a/62/62/62624a7eca2a16fd0a775664/408-250.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/67/c3/5f/62/625fc36790bbc66c5ab49819/408-250.I.1.0.jpg",,,,,,,,,,,,,,
"408-750","7318304087508","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/68/c3/5f/62/625fc368328f042f10d7a3dc/408-750.I.1.0.jpg","Pollux væglampe 2xGU10 sort","Sort","Pollux væglampe 2xGU10 sort","Pollux væglampe 2xGU10 sort","Udendørslamper","Pollux vägglykta 2xGU10 svart","Svart","Pollux vägglykta 2xGU10 svart","Pollux vägglykta 2xGU10 svart","Utebelysning","Konstsmide",592,1057.60,1322.00,6,27.50,11.50,7.50,0.92,1.39,360.00,155.00,130.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 2x7W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/8d/4a/62/62/62624a8d89b95f4e204cd68c/408-750.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/82/4a/62/62/62624a8289b95f4e204cd68a/408-750.B.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/90/4a/62/62/62624a90ca2a16fd0a775667/408-750.S.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/89/4a/62/62/62624a89ca2a16fd0a775666/408-750.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/85/4a/62/62/62624a85a029622018e28e33/408-750.F.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/68/c3/5f/62/625fc368328f042f10d7a3dc/408-750.I.1.0.jpg",,,,,,,,,,,,
"7806-302","7318308063027","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9e/c8/5f/62/625fc89eb13d56f91d62d72a/7806-302.I.1.0.jpg","Assisi cylinder solcelle grå","Grå","Assisi cylinder solcelle grå","Assisi kube  solcelle LED 1W dæmpbar grå","Udendørslamper","Assisi cylinder solcell grå","Grå","Assisi cylinder solcell grå","Assisi kvadrat solcell LED 1W dimbar grå","Utebelysning","Konstsmide",216,386.40,483.00,6,14.50,12.00,12.00,0.40,0.54,160.00,125.00,125.00,"-",,,"IP44","LED","Yes","-","100/40/10","3000","LED","3,7V","1W",9405423900,"CN","SOLCELLE LAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/ca/4d/62/62/62624dcaca2a16fd0a7756fc/7806-302.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/c4/4d/62/62/62624dc4ca2a16fd0a7756fb/7806-302.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/c6/4d/62/62/62624dc61e107415455497a6/7806-302.P.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/c8/4d/62/62/62624dc889b95f4e204cd727/7806-302.P.3.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9e/c8/5f/62/625fc89eb13d56f91d62d72a/7806-302.I.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/04/a1/66/62/6266a104a029622018e2c57b/7806-302.B.1.0.jpg",,,,,,,,,,,,
"7806-202","7318308062020","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9e/c8/5f/62/625fc89ef35177c342dddc46/7806-202.I.1.0.jpg","Assisi cylinder solcelle hvid","Hvid","Assisi cylinder solcelle hvid","Assisi kube  solcelle LED 1W dæmpbar hvid","Udendørslamper","Assisi cylinder solcell vit","Vit","Assisi cylinder solcell vit","Assisi kvadrat solcell LED 1W dimbar vit","Utebelysning","Konstsmide",216,386.40,483.00,6,14.50,12.00,12.00,0.40,0.54,160.00,125.00,125.00,"-",,,"IP44","LED","Yes","-","100/40/10","3000","LED","3,7V","1W",9405423900,"CN","SOLCELLE LAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/bd/4d/62/62/62624dbda029622018e28f06/7806-202.P.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/c1/4d/62/62/62624dc1ca2a16fd0a7756fa/7806-202.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/bb/4d/62/62/62624dbb89b95f4e204cd725/7806-202.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/bf/4d/62/62/62624dbf89b95f4e204cd726/7806-202.P.3.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9e/c8/5f/62/625fc89ef35177c342dddc46/7806-202.I.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/fb/a0/66/62/6266a0fb89b95f4e204d1271/7806-202.B.1.0.jpg",,,,,,,,,,,,
"7805-602","7318308056029","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9d/c8/5f/62/625fc89df35177c342dddc45/7805-602.I.1.0.jpg","Assisi solcelle/USB LED grøn","Grøn","Assisi solcelle/USB LED grøn","Assisi solcelle/USB-lampe hængende/stående LED, dæmpbar grøn","Udendørslamper","Assisi solcell/USB LED grön","Grön","Assisi solcell/USB LED grön","Assisi solcell/USB-lampa hängande/stående LED, dimbar grön","Utebelysning","Konstsmide",322,575.20,719.00,6,19.50,12.00,12.00,0.45,0.66,205.00,145.00,135.00,"-",,,"IP44","LED","Yes","-","100/40/10","3000","LED","3,7V","1W",9405423900,"CN","USB LAMPER;SOLCELLE LAMPER;TERRASSELAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b9/4d/62/62/62624db9a029622018e28f04/7805-602.S.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b3/4d/62/62/62624db389b95f4e204cd721/7805-602.P.3.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b5/4d/62/62/62624db5a029622018e28f03/7805-602.P.4.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b7/4d/62/62/62624db789b95f4e204cd723/7805-602.P.5.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b8/4d/62/62/62624db889b95f4e204cd724/7805-602.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b0/4d/62/62/62624db0a029622018e28f02/7805-602.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/b1/4d/62/62/62624db11e107415455497a4/7805-602.P.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9d/c8/5f/62/625fc89df35177c342dddc45/7805-602.I.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/ec/a0/66/62/6266a0ecf710ffb0c31abccd/7805-602.B.1.0.jpg",,,,,,,,,
"7805-302","7318308053028","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9c/c8/5f/62/625fc89cb4ad8cbf7caffc6d/7805-302.I.1.0.jpg","Assisi solcelle/USB LED grå","Grå","Assisi solcelle/USB LED grå","Assisi solcelle/USB-lampe hængende/stående LED, dæmpbar grå","Udendørslamper","Assisi solcell/USB LED grå","Grå","Assisi solcell/USB LED grå","Assisi solcell/USB-lampa hängande/stående LED, dimbar grå","Utebelysning","Konstsmide",322,575.20,719.00,6,19.50,12.00,12.00,0.45,0.66,205.00,145.00,135.00,"-",,,"IP44","LED","Yes","-","100/40/10","3000","LED","3,7V","1W",9405423900,"CN","USB LAMPER;SOLCELLE LAMPER;TERRASSELAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/ad/4d/62/62/62624dadca2a16fd0a7756f7/7805-302.S.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a9/4d/62/62/62624da9a029622018e28f00/7805-302.P.4.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/ab/4d/62/62/62624daba029622018e28f01/7805-302.P.5.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/ac/4d/62/62/62624dac1e107415455497a3/7805-302.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a4/4d/62/62/62624da489b95f4e204cd71d/7805-302.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a6/4d/62/62/62624da689b95f4e204cd71e/7805-302.P.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a7/4d/62/62/62624da789b95f4e204cd71f/7805-302.P.3.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9c/c8/5f/62/625fc89cb4ad8cbf7caffc6d/7805-302.I.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/df/a0/66/62/6266a0dfa029622018e2c574/7805-302.B.1.0.jpg",,,,,,,,,
"7805-202","7318308052021","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9b/c8/5f/62/625fc89bf35177c342dddc44/7805-202.I.1.0.jpg","Assisi solcelle/USB LED hvid","Hvid","Assisi solcelle/USB LED hvid","Assisi solcelle/USB-lampe hængende/stående LED, dæmpbar hvid","Udendørslamper","Assisi solcell/USB LED vit","Vit","Assisi solcell/USB LED vit","Assisi solcell/USB-lampa hängande/stående LED, dimbar vit","Utebelysning","Konstsmide",322,575.20,719.00,6,19.50,12.00,12.00,0.45,0.66,205.00,145.00,135.00,"-",,,"IP44","LED","Yes","-","100/40/10","3000","LED","3,7V","1W",9405423900,"CN","USB LAMPER;SOLCELLE LAMPER;TERRASSELAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a2/4d/62/62/62624da2a029622018e28efd/7805-202.S.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a0/4d/62/62/62624da01e1074154554979a/7805-202.P.5.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/a0/4d/62/62/62624da01e1074154554979c/7805-202.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/98/4d/62/62/62624d9889b95f4e204cd716/7805-202.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9a/4d/62/62/62624d9aa029622018e28ef8/7805-202.P.2.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9c/4d/62/62/62624d9ca029622018e28ef9/7805-202.P.3.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9e/4d/62/62/62624d9ea029622018e28efc/7805-202.P.4.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/9b/c8/5f/62/625fc89bf35177c342dddc44/7805-202.I.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/d1/a0/66/62/6266a0d1a029622018e2c570/7805-202.B.1.0.jpg",,,,,,,,,
